maxPrice,essence,diesel,hybrid,elec,manual,auto,id
23000,f,t,f,f,t,f,1749
29000,f,t,f,f,t,f,1750
31000,f,t,f,f,t,f,1751
21000,f,t,f,f,t,f,1776
21000,f,t,f,f,t,f,1777
23000,f,t,f,f,t,f,1778
23000,f,t,f,f,t,f,1779
22000,f,t,f,f,t,f,1752
-1,t,t,t,t,t,t,1753
21000,f,t,f,f,t,f,1780
21000,f,t,f,f,t,f,1754
-1,f,f,f,f,f,f,1755
21000,f,t,f,f,t,f,1781
24000,f,t,f,f,t,f,1782
21000,f,t,f,f,t,f,1756
16000,t,t,f,f,t,f,1757
21000,f,t,f,f,t,f,1758
21000,f,t,f,f,t,f,1759
25000,f,t,f,f,t,f,1783
22000,f,f,f,f,t,f,1760
22000,f,t,f,f,t,f,1784
21000,f,t,f,f,t,f,1765
26000,f,f,f,f,f,f,1761
-1,f,t,f,f,t,f,1762
21000,f,t,f,f,t,f,1763
21000,f,t,f,f,t,f,1785
22000,f,t,f,f,t,f,1786
26000,f,t,f,f,t,f,1766
0,f,t,f,f,t,f,1767
23000,f,t,f,f,t,f,1764
0,f,t,f,f,t,f,1768
21000,f,t,f,f,t,f,1769
21000,f,t,f,f,t,f,1770
25000,f,t,f,f,t,f,1787
21000,f,t,f,f,t,f,1771
26000,f,t,f,f,t,f,1788
21000,t,t,f,f,t,f,1772
22000,t,t,f,f,t,f,1773
24000,f,t,f,f,t,f,1789
27000,t,t,f,f,t,f,1790
24000,f,t,f,f,t,f,1791
21000,f,f,f,f,t,f,1774
28000,f,t,f,f,t,f,1792
26000,f,t,f,f,t,f,1793
28000,f,t,f,f,t,f,1794
21000,f,t,f,f,t,f,1796
23000,f,t,f,f,t,f,1797
24000,f,t,f,f,t,f,1795
23000,f,t,f,f,t,f,1798
23000,f,t,f,f,t,f,1799
-1,f,t,f,f,t,f,1801
-1,f,t,f,f,t,f,1802
21000,f,t,f,f,t,f,1800
-1,f,t,f,f,t,f,1803
21000,f,t,f,f,t,f,1804
21000,f,t,f,f,t,f,1805
21000,f,t,f,f,t,f,1807
28000,f,t,f,f,t,f,1808
21000,f,t,f,f,t,f,1806
21000,f,t,f,f,t,f,1809
21000,f,t,f,f,t,f,1814
21000,f,t,f,f,t,f,1820
21000,f,t,f,f,t,f,1822
-1,f,t,f,f,t,f,1825
-1,f,t,f,f,t,f,1826
21000,f,t,f,f,t,f,1810
21000,f,t,f,f,t,f,1811
21000,f,t,f,f,t,f,1818
-1,f,t,f,f,t,f,1827
21000,f,t,f,f,t,f,1830
21000,f,t,f,f,t,f,1834
21000,f,t,f,f,t,f,1821
0,f,t,f,f,t,f,1812
21000,f,t,f,f,t,f,1813
22000,f,t,f,f,t,f,1815
21000,f,t,f,f,t,f,1819
21000,f,t,f,f,t,f,1816
21000,f,t,f,f,t,f,1817
21000,f,t,f,f,t,f,1832
21000,f,t,f,f,t,f,1823
24000,f,t,f,f,t,f,1838
-1,f,t,f,f,t,f,1824
21000,f,t,f,f,t,f,1831
21000,f,t,f,f,t,f,1833
41000,f,t,f,f,t,f,1836
41000,f,t,f,f,t,f,1837
21000,f,t,f,f,t,f,1828
21000,f,t,f,f,t,f,1829
41000,f,t,f,f,t,f,1835
21000,f,t,f,f,t,f,1839
30000,f,t,f,f,t,f,1841
21000,f,t,f,f,t,f,1884
21000,f,t,f,f,t,f,1877
24000,f,t,f,f,t,f,1840
21000,f,t,f,f,t,f,1885
21000,f,t,f,f,t,f,1842
21000,f,t,f,f,t,f,1843
21000,f,t,f,f,t,f,1844
21000,f,t,f,f,t,f,1845
21000,f,t,f,f,t,f,1878
21000,f,t,f,f,t,f,1879
